Timestamp,Area,Corners,Shape,Side1_Length,Side2_Length,thickness
16-01-50,149755,4,rectangular,502,294,32.0
16-02-09,150021,4,rectangular,298,496,31.0
16-02-41,150313,4,rectangular,294,499,31.0
16-03-04,149852,4,rectangular,499,301,33.0
16-03-30,149586,4,rectangular,499,298,32.0

16-04-37,237921,5,irregular,0,0,33.0
16-05-26,238771,5,irregular,0,0,33.0
16-06-38,238925,5,irregular,0,0,30.0
16-07-05,238884,5,irregular,0,0,36.0
16-07-28,238280,5,irregular,0,0,31.0

16-09-48,230912,7,irregular,0,0,48.0
16-10-14,231183,7,irregular,0,0,46.0
16-10-59,231214,7,irregular,0,0,45.0
16-11-33,231127,7,irregular,0,0,46.0
16-13-24,231747,7,irregular,0,0,49.0

16-15-10,133135,3,irregular,0,0,49.0
16-16-21,133012,3,irregular,0,0,45.0
16-17-25,133412,3,irregular,0,0,49.0
16-17-50,133591,3,irregular,0,0,47.0
16-18-13,133299,3,irregular,0,0,48.0

16-22-32,154440,8,irregular,0,0,9.0
16-23-17,154614,8,irregular,0,0,12.0
16-23-38,154445,8,irregular,0,0,9.0
16-24-04,154506,8,irregular,0,0,10.0
16-24-47,154557,8,irregular,0,0,11.0

16-25-31,224225,4,irregular,0,0,10.0
16-25-57,224737,4,irregular,0,0,11.0
16-26-22,224323,4,irregular,0,0,11.0
16-26-45,224230,4,irregular,0,0,9.0
16-27-24,224620,4,irregular,0,0,12.0

16-30-37,134257,3,irregular,0,0,32.0
16-31-03,134508,3,irregular,0,0,32.0
16-32-19,134021,3,irregular,0,0,27.0
16-33-00,133996,3,irregular,0,0,26.0
16-33-47,134420,3,irregular,0,0,29.0

16-34-31,295741,4,irregular,0,0,30.0
16-34-55,295373,4,irregular,0,0,27.0
16-35-56,296586,4,irregular,0,0,25.0
16-37-22,296279,4,irregular,0,0,28.0
16-37-41,296709,4,irregular,0,0,28.0

16-42-12,250813,4,rectangular,499,499,37.0
16-42-35,250296,4,rectangular,499,499,37.0
16-43-17,250378,4,rectangular,499,499,38.0
16-43-42,249979,4,rectangular,499,499,36.0
16-44-05,250189,4,rectangular,499,499,37.0

16-46-10,359265,4,rectangular,803,451,37.0
16-46-39,359327,4,rectangular,448,800,38.0
16-47-23,359229,4,rectangular,803,451,36.0
16-47-56,359255,4,rectangular,803,448,38.0
16-48-49,358917,4,rectangular,803,445,36.0

